online_gaming_behavior_dataset_rev1
PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,Male,Other,Strategy,16.271118760553200,0,Medium,6,108,79,25,Medium
9001,29,Female,USA,Strategy,5.525961380570570,0,Medium,5,144,11,10,Medium
9002,22,Female,USA,Sports,8.223755243499510,0,Easy,16,142,35,41,High
9003,35,Male,USA,Action,5.265351277318270,1,Easy,9,85,57,47,Medium
9004,33,Male,Europe,Action,15.53194452113430,0,Medium,2,131,95,37,Medium
9005,37,Male,Europe,RPG,20.561855414112600,0,Easy,2,81,74,22,Low
9006,25,Male,USA,Action,9.752716365932260,0,Hard,1,50,13,2,Low
9007,25,Female,Asia,RPG,4.401729344841460,0,Medium,10,48,27,23,Medium
9008,38,Female,Europe,Simulation,18.15273259575480,0,Easy,5,101,23,41,Medium
9009,38,Female,Other,Sports,23.942771725289500,0,Easy,13,95,99,36,High
9010,17,Male,USA,Strategy,4.829915833543260,0,Hard,8,95,14,12,High
9011,36,Female,Asia,Simulation,5.53598092541321,1,Easy,16,124,62,31,High
9012,16,Male,USA,Sports,18.776233805679200,1,Easy,9,18,52,32,High
9013,38,Female,USA,Strategy,8.701959180591400,0,Easy,0,156,33,47,Low
9014,44,Male,USA,Simulation,17.975200475946400,0,Easy,8,41,98,1,Low
9015,16,Male,Europe,RPG,7.9515113390570500,0,Medium,10,156,58,24,High
9016,35,Male,Asia,Strategy,17.88789845694820,0,Easy,16,154,62,4,High
9017,47,Male,USA,RPG,17.272112901806300,0,Medium,2,131,13,9,Low
9018,26,Female,Asia,Action,19.416078735805600,0,Easy,3,135,77,25,Medium
9019,36,Female,Asia,RPG,19.3388255215677,0,Easy,4,56,21,30,Low
9020,39,Female,USA,Sports,1.7225809816138800,0,Easy,2,177,34,37,Medium
9021,41,Female,USA,Sports,16.16768979311810,0,Easy,18,159,36,33,High
9022,42,Male,USA,Sports,10.44812618560380,0,Medium,2,120,81,5,Low
9023,30,Male,Europe,Strategy,17.959834855223,0,Easy,14,117,40,19,High
9024,29,Male,Europe,Sports,22.56472310015380,0,Medium,12,161,1,22,High
9025,17,Female,USA,Sports,10.311459919262400,0,Hard,4,82,1,7,Medium
9026,21,Male,USA,Strategy,4.898342485762540,0,Medium,12,118,71,26,High
9027,35,Male,USA,Sports,14.594424641527600,0,Easy,18,177,59,18,High
9028,23,Male,Europe,Simulation,3.2183650776686200,0,Easy,14,57,2,1,Medium
9029,32,Female,USA,Sports,4.128575768252700,0,Easy,1,155,85,37,Low
9030,18,Female,Asia,Simulation,22.85867253938620,0,Easy,3,67,35,2,Low
9031,39,Male,USA,Sports,3.374945771843210,1,Easy,5,70,50,11,Medium
9032,28,Female,Europe,Action,14.527638765803000,0,Hard,0,127,48,48,Low
9033,23,Male,USA,Simulation,18.964324125931700,0,Hard,19,48,62,42,Medium
9034,40,Male,USA,Strategy,11.72896470228840,0,Hard,0,120,24,18,Low
9035,16,Female,USA,RPG,17.491258097283600,0,Medium,18,166,24,17,High
9036,34,Male,Europe,Action,13.776451193864400,0,Hard,19,28,79,41,Medium
9037,42,Male,USA,Strategy,23.958349383365000,0,Medium,17,61,26,26,Medium
9038,21,Female,Europe,Action,1.9080071501124600,0,Medium,11,112,14,0,Medium
9039,22,Female,Europe,Sports,5.5601059679590300,0,Hard,3,116,52,44,Medium
9040,49,Female,Europe,Strategy,13.714087008439200,1,Medium,15,43,93,29,Medium
9041,28,Male,Other,RPG,12.283925798967000,0,Medium,4,151,76,35,Medium
9042,31,Male,USA,Action,2.244646562637270,0,Medium,15,68,88,39,Medium
9043,18,Male,Other,RPG,13.153809578502700,0,Medium,12,115,98,7,Medium
9044,16,Female,Europe,Action,2.61963355317819,0,Easy,14,149,10,34,High
9045,20,Male,Asia,RPG,16.58532904749500,0,Medium,19,65,34,46,Medium
9046,18,Male,USA,RPG,15.65317440909560,0,Easy,17,176,45,43,High
9047,43,Male,USA,Strategy,1.5959787198659900,0,Medium,3,31,73,49,Low
9048,32,Female,USA,Sports,11.198056677031900,0,Easy,19,77,51,38,High
9049,40,Male,Europe,Sports,17.06770113669250,0,Hard,8,94,31,13,Medium
9050,48,Male,Other,RPG,19.216494885917600,0,Hard,3,146,22,32,Medium
9051,24,Male,USA,Sports,0.8741881074057290,0,Medium,8,45,19,21,High
9052,28,Male,Europe,Simulation,11.216713856822700,0,Easy,8,134,64,25,Medium
9053,45,Male,Europe,Simulation,23.70289731941190,1,Easy,1,50,95,26,Low
9054,29,Male,Europe,RPG,9.210122598314190,1,Easy,15,171,6,16,High
9055,22,Female,USA,RPG,12.818930926253500,1,Easy,8,46,8,0,Medium
9056,28,Male,USA,Simulation,7.181065650658030,0,Easy,8,139,20,1,Medium
9057,37,Male,USA,Simulation,1.3216351452681200,1,Easy,15,36,88,36,Medium
9058,35,Male,USA,Simulation,21.686274632514700,0,Easy,15,148,73,43,High
9059,30,Female,USA,Strategy,15.154138638867600,0,Easy,9,153,46,19,Medium
9060,32,Male,USA,Action,12.555121569353700,0,Hard,11,138,27,13,High
9061,38,Female,USA,Strategy,19.463563663701800,0,Medium,19,155,35,30,High
9062,40,Female,Europe,Simulation,3.5296239780154100,0,Easy,2,94,76,42,Medium
9063,39,Male,Other,Action,20.855935292615900,0,Hard,16,140,10,16,High
9064,43,Male,Other,Sports,14.627357000797500,0,Easy,1,16,38,43,Low
9065,29,Female,USA,Simulation,17.00264693146230,1,Easy,16,135,80,43,High
9066,15,Female,USA,Simulation,14.896177519430700,0,Easy,6,49,58,42,Medium
9067,39,Female,Other,Sports,19.752971845981400,0,Medium,7,46,26,47,Medium
9068,21,Female,Europe,Action,19.025309404996200,0,Easy,13,30,3,40,Medium
9069,23,Male,Other,Simulation,13.724648498671100,1,Medium,17,167,72,24,High
9070,38,Female,Europe,Action,20.16071100731580,0,Easy,13,79,29,32,Medium
9071,15,Male,Asia,Strategy,18.85035866001130,0,Medium,7,111,45,2,Medium
9072,22,Male,Europe,RPG,12.082181787612500,1,Easy,7,79,46,32,Medium
9073,38,Female,Europe,Strategy,2.2623788685222400,0,Medium,12,131,12,37,High
9074,25,Male,Europe,RPG,20.812949081354800,1,Easy,19,109,91,48,High
9075,31,Male,USA,Simulation,9.00911457935074,0,Easy,14,106,23,1,High
9076,22,Male,Asia,Strategy,19.663555948593400,1,Medium,3,29,9,30,Low
9077,49,Male,USA,Strategy,18.53536572246270,1,Easy,0,83,15,4,Low
9078,49,Female,USA,Sports,2.040757120839900,1,Easy,12,70,33,33,Medium
9079,47,Male,Asia,RPG,6.534987238893370,0,Easy,10,14,15,25,Low
9080,19,Female,Europe,RPG,19.8608123586172,1,Easy,1,139,24,0,Low
9081,42,Male,USA,Simulation,13.981026479981800,0,Medium,12,34,14,15,Medium
9082,21,Male,USA,Sports,7.743327855210590,0,Easy,5,77,40,38,Medium
9083,23,Male,USA,Sports,3.7993760618991400,1,Easy,12,41,73,10,Medium
9084,22,Male,USA,RPG,10.391518408495200,0,Easy,19,102,14,24,High
9085,26,Male,USA,Sports,15.07465364685180,0,Medium,4,117,4,49,Medium
9086,48,Female,Asia,Action,8.45765169975634,1,Easy,3,122,89,24,Medium
9087,47,Male,Europe,Simulation,14.432201516019700,0,Hard,18,14,78,4,Low
9088,37,Male,USA,Strategy,19.501707922419800,0,Medium,11,147,40,49,High
9089,38,Male,Europe,RPG,6.496475465416330,1,Medium,8,107,11,7,Medium
9090,49,Male,USA,Sports,2.1494952130714200,0,Medium,14,36,59,35,Medium
9091,36,Male,USA,Sports,4.31332838120464,0,Easy,1,73,76,15,Low
9092,41,Female,Europe,Sports,5.694275828168050,1,Easy,7,12,77,28,Low
9093,49,Male,Asia,Simulation,3.1093326260751100,0,Easy,0,99,80,42,Low
9094,15,Male,Asia,Strategy,9.744040836920970,1,Hard,4,32,33,42,Low
9095,49,Male,Europe,Sports,7.838044518431900,0,Easy,19,126,3,14,High
9096,28,Male,USA,Strategy,9.208410715098560,1,Medium,1,84,61,39,Low
9097,17,Male,Europe,Strategy,8.644038308703860,0,Easy,3,117,1,11,Medium
9098,15,Female,Europe,Simulation,5.970601392200960,0,Easy,11,55,54,37,Medium
9099,19,Female,USA,Sports,15.377172223047600,0,Hard,14,93,65,42,High
9100,40,Male,Europe,Sports,5.80504022403155,0,Medium,5,40,89,29,Medium
9101,28,Female,Europe,Strategy,22.350824629219,0,Hard,11,109,53,18,Medium
9102,41,Male,Europe,Sports,7.648375781283180,0,Easy,2,33,54,33,Low
9103,23,Female,Europe,Simulation,22.876692544657100,0,Medium,8,91,38,14,Medium
9104,29,Female,Other,Sports,4.557998876469410,0,Easy,16,36,22,36,Medium
9105,29,Male,Europe,Sports,2.0673841286865000,1,Easy,15,101,73,45,High
9106,40,Male,Asia,Sports,7.383373195576560,0,Easy,15,24,56,17,Medium
9107,27,Male,Other,Simulation,7.733396192629240,0,Hard,17,72,45,48,Medium
9108,46,Male,Asia,Strategy,19.40450332244640,1,Medium,9,127,75,32,Medium
9109,46,Male,Other,Strategy,18.553968214485000,0,Easy,12,96,2,21,Medium
9110,18,Female,Asia,Sports,4.456026910768450,0,Easy,16,121,10,35,High
9111,44,Male,USA,Simulation,22.143222508759700,0,Hard,7,60,5,30,Medium
9112,37,Male,USA,Sports,8.499982200955520,0,Medium,18,145,88,15,High
9113,29,Female,USA,Simulation,23.694606600294000,0,Medium,3,51,72,44,Low
9114,43,Female,USA,Simulation,23.165252611397200,0,Easy,14,96,42,47,High
9115,27,Male,USA,Strategy,6.549913698732850,0,Hard,18,111,34,9,High
9116,46,Female,Asia,Action,10.825598338043800,0,Medium,12,142,24,18,High
9117,21,Female,USA,Action,20.277652343428400,1,Easy,17,142,12,20,High
9118,36,,Asia,RPG,7.245611011215010,0,Easy,3,69,52,14,Low
9119,42,,Other,RPG,10.776915901085200,0,Medium,7,154,23,19,Medium
9120,16,Female,USA,Action,4.622791147216770,1,Easy,17,149,48,14,High
9121,20,Female,USA,Strategy,11.929378551497200,0,Medium,11,75,69,25,Medium
9122,42,,Asia,RPG,6.566794339859010,0,Hard,15,17,19,43,Low
9123,42,,USA,Action,2.7313181997200700,0,Medium,17,62,77,35,Medium
9124,34,Female,USA,Strategy,16.591687482718500,0,Medium,13,124,35,43,High
9125,44,Female,USA,RPG,8.583797272700020,0,Medium,11,34,8,11,Medium
9126,25,Female,USA,RPG,12.763140085923600,0,Medium,7,108,76,1,Medium
9127,42,Female,Asia,Action,13.297752190463800,0,Easy,19,157,85,7,High
9128,39,Female,Europe,RPG,14.173755660725800,0,Easy,15,108,49,32,High
9129,47,Female,USA,Strategy,18.49464367093110,0,Easy,2,65,92,45,Medium
9130,15,Female,Europe,Action,17.223879815467000,1,Hard,5,94,76,14,Medium
9131,41,Female,USA,Strategy,18.224655455153900,0,Medium,1,70,5,43,Low
9132,27,,USA,RPG,19.48783440802380,0,Medium,16,154,13,27,High
9133,17,Female,Europe,Strategy,9.483212067452140,0,Medium,7,78,54,36,Medium
9134,20,,Europe,Sports,19.047461153319900,0,Easy,18,14,49,5,Low
9135,22,Male,USA,Simulation,8.612156614530550,1,Hard,13,21,58,19,Low
9136,41,Male,Asia,RPG,9.987578341053730,0,Easy,1,124,15,24,Low
9137,23,Male,Asia,Sports,21.656382595501200,0,Easy,7,45,45,42,Medium
9138,47,Male,Other,Simulation,16.209307153657100,0,Medium,6,62,96,40,Medium
9139,38,Female,Europe,Action,5.990720486362280,1,Medium,7,43,72,16,Medium
9140,29,Female,USA,Simulation,15.973762574875900,0,Easy,1,69,81,14,Low
9141,46,Female,Asia,Action,3.683183597785030,0,Easy,19,42,64,31,Medium
9142,46,Female,USA,Sports,6.252455837162760,1,Hard,8,103,54,36,Medium
9143,38,Male,USA,Simulation,1.3485441645161400,1,Hard,3,124,82,4,Medium
9144,26,Male,Asia,RPG,16.331728199932100,1,Hard,16,52,87,2,Medium
9145,16,Male,Other,Sports,22.755435580784200,1,Easy,12,132,4,4,High
9146,17,Male,USA,Simulation,22.397026414328700,0,Easy,17,105,60,37,High
9147,31,Female,USA,Strategy,19.390309545820600,0,Easy,11,27,23,13,Low
9148,16,Male,Europe,Strategy,3.8446831820232200,0,Hard,3,159,8,44,Low
9149,16,Male,Other,Action,20.256331595040900,0,Easy,9,19,95,31,Medium
9150,42,Male,Europe,Sports,0.06964325804179160,0,Hard,18,117,40,0,High
9151,37,Male,Asia,Strategy,21.99256342919030,0,Easy,9,138,13,19,Medium
9152,46,Male,Other,Simulation,16.89538519745820,0,Hard,0,140,95,46,Low
9153,47,Female,Europe,RPG,4.200586153886300,1,Hard,19,70,49,44,High
9154,15,Male,Asia,Action,13.541251804375400,0,Easy,8,39,45,45,Medium
9155,33,Male,Europe,Simulation,15.047202136340900,0,Easy,11,92,39,43,Medium
