,Age,GameGenre,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes
0,43,Strategy,16,6,108
1,29,Strategy,5,5,144
2,22,Sports,8,16,142
3,35,Action,5,9,85
4,33,Action,15,2,131
5,37,RPG,20,2,81
6,25,Action,9,1,50
7,25,RPG,4,10,48
8,38,Simulation,18,5,101
9,38,Sports,23,13,95
10,17,Strategy,4,8,95
11,36,Simulation,5,16,124
12,16,Sports,18,9,18
13,38,Strategy,8,0,156
14,44,Simulation,17,8,41
15,16,RPG,7,10,156
16,35,Strategy,17,16,154
17,47,RPG,17,2,131
18,26,Action,19,3,135
19,36,RPG,19,4,56
20,39,Sports,1,2,177
21,41,Sports,16,18,159
22,42,Sports,10,2,120
23,30,Strategy,17,14,117
24,29,Sports,22,12,161
25,17,Sports,10,4,82
26,21,Strategy,4,12,118
27,35,Sports,14,18,177
28,23,Simulation,3,14,57
29,32,Sports,4,1,155
30,18,Simulation,22,3,67
31,39,Sports,3,5,70
32,28,Action,14,0,127
33,23,Simulation,18,19,48
34,40,Strategy,11,0,120
35,16,RPG,17,18,166
36,34,Action,13,19,28
37,42,Strategy,23,17,61
38,21,Action,1,11,112
39,22,Sports,5,3,116
40,49,Strategy,13,15,43
41,28,RPG,12,4,151
42,31,Action,2,15,68
43,18,RPG,13,12,115
44,16,Action,2,14,149
45,20,RPG,16,19,65
46,18,RPG,15,17,176
47,43,Strategy,1,3,31
48,32,Sports,11,19,77
49,40,Sports,17,8,94
50,48,RPG,19,3,146
51,24,Sports,0,8,45
52,28,Simulation,11,8,134
53,45,Simulation,23,1,50
54,29,RPG,9,15,171
55,22,RPG,12,8,46
56,28,Simulation,7,8,139
57,37,Simulation,1,15,36
58,35,Simulation,21,15,148
59,30,Strategy,15,9,153
60,32,Action,12,11,138
61,38,Strategy,19,19,155
62,40,Simulation,3,2,94
63,39,Action,20,16,140
64,43,Sports,14,1,16
65,29,Simulation,17,16,135
66,15,Simulation,14,6,49
67,39,Sports,19,7,46
68,21,Action,19,13,30
69,23,Simulation,13,17,167
70,38,Action,20,13,79
71,15,Strategy,18,7,111
72,22,RPG,12,7,79
73,38,Strategy,2,12,131
74,25,RPG,20,19,109
75,31,Simulation,9,14,106
76,22,Strategy,19,3,29
77,49,Strategy,18,0,83
78,49,Sports,2,12,70
79,47,RPG,6,10,14
80,19,RPG,19,1,139
81,42,Simulation,13,12,34
82,21,Sports,7,5,77
83,23,Sports,3,12,41
84,22,RPG,10,19,102
85,26,Sports,15,4,117
86,48,Action,8,3,122
87,47,Simulation,14,18,14
88,37,Strategy,19,11,147
89,38,RPG,6,8,107
90,49,Sports,2,14,36
91,36,Sports,4,1,73
92,41,Sports,5,7,12
93,49,Simulation,3,0,99
94,15,Strategy,9,4,32
95,49,Sports,7,19,126
96,28,Strategy,9,1,84
97,17,Strategy,8,3,117
98,15,Simulation,5,11,55
99,19,Sports,15,14,93
100,40,Sports,5,5,40
101,28,Strategy,22,11,109
102,41,Sports,7,2,33
103,23,Simulation,22,8,91
104,29,Sports,4,16,36
105,29,Sports,2,15,101
106,40,Sports,7,15,24
107,27,Simulation,7,17,72
108,46,Strategy,19,9,127
109,46,Strategy,18,12,96
110,18,Sports,4,16,121
111,44,Simulation,22,7,60
112,37,Sports,8,18,145
113,29,Simulation,23,3,51
114,43,Simulation,23,14,96
115,27,Strategy,6,18,111
116,46,Action,10,12,142
117,21,Action,20,17,142
118,36,RPG,7,3,69
119,42,RPG,10,7,154
120,16,Action,4,17,149
121,20,Strategy,11,11,75
122,42,RPG,6,15,17
123,42,Action,2,17,62
124,34,Strategy,16,13,124
125,44,RPG,8,11,34
126,25,RPG,12,7,108
127,42,Action,13,19,157
128,39,RPG,14,15,108
129,47,Strategy,18,2,65
130,15,Action,17,5,94
131,41,Strategy,18,1,70
132,27,RPG,19,16,154
133,17,Strategy,9,7,78
134,20,Sports,19,18,14
135,22,Simulation,8,13,21
136,41,RPG,9,1,124
137,23,Sports,21,7,45
138,47,Simulation,16,6,62
139,38,Action,5,7,43
140,29,Simulation,15,1,69
141,46,Action,3,19,42
142,46,Sports,6,8,103
143,38,Simulation,1,3,124
144,26,RPG,16,16,52
145,16,Sports,22,12,132
146,17,Simulation,22,17,105
147,31,Strategy,19,11,27
148,16,Strategy,3,3,159
149,16,Action,20,9,19
150,42,Sports,0,18,117
151,37,Strategy,21,9,138
152,46,Simulation,16,0,140
153,47,RPG,4,19,70
154,15,Action,13,8,39
155,33,Simulation,15,11,92
156,16,Action,6,9,50
157,40,Strategy,20,3,138
158,46,Sports,12,11,179
159,20,RPG,13,12,135
160,46,Strategy,21,18,164
161,18,Sports,15,11,90
162,25,RPG,14,8,110
163,31,Sports,3,12,103
164,38,Strategy,13,0,146
165,19,RPG,21,10,30
166,48,Simulation,14,15,133
167,20,Strategy,6,4,166
168,36,Action,19,11,142
169,25,RPG,10,13,102
170,30,Sports,1,5,144
171,47,Strategy,11,15,67
172,23,Sports,18,9,105
173,20,Simulation,22,4,98
174,30,Sports,15,14,89
175,43,Strategy,20,3,80
176,17,RPG,17,6,24
177,34,Strategy,4,16,31
178,33,Action,23,19,105
179,40,Action,1,16,47
180,17,Sports,6,18,20
181,33,Sports,18,6,149
182,34,Strategy,3,13,50
183,46,Sports,13,14,10
184,21,Sports,15,9,116
185,47,Sports,16,15,152
186,32,RPG,3,14,128
187,15,Action,4,16,65
188,25,RPG,2,1,71
189,42,Strategy,4,12,90
190,39,Simulation,19,16,151
191,37,Action,2,4,121
192,45,Strategy,9,5,48
193,44,Sports,0,19,55
194,49,Simulation,18,9,45
195,21,Simulation,22,10,111
196,30,Simulation,7,2,12
197,40,RPG,7,6,36
198,16,Strategy,13,14,102
199,15,RPG,3,3,57
200,26,RPG,14,5,175
201,19,Action,13,13,14
202,46,RPG,9,16,84
203,23,Sports,16,5,88
204,49,Simulation,13,14,159
205,33,Strategy,20,12,125
206,30,RPG,17,1,74
207,17,Strategy,13,10,103
208,34,Action,7,3,33
209,38,Simulation,0,7,60
210,47,Action,8,8,20
211,38,RPG,18,2,93
212,25,Strategy,21,15,166
213,22,Action,20,8,91
214,34,Simulation,8,1,168
215,49,RPG,0,19,32
216,39,RPG,22,18,109
217,49,Simulation,16,14,118
218,39,Action,11,9,76
219,43,Strategy,18,4,169
220,32,Simulation,2,6,172
221,32,Action,2,18,179
222,16,Sports,16,10,138
223,49,Action,1,17,27
224,30,Action,1,4,170
225,47,Sports,17,14,150
226,18,Simulation,17,3,118
227,47,Simulation,9,1,82
228,28,Action,9,2,121
229,35,Sports,10,19,164
230,34,Strategy,8,15,70
231,22,Action,10,1,140
232,21,Strategy,4,0,146
233,17,RPG,14,11,23
234,31,Simulation,12,11,87
235,47,Action,15,4,76
236,26,Action,4,3,68
237,36,Sports,2,2,71
238,36,Sports,19,13,160
239,44,RPG,21,15,101
240,22,Sports,4,1,122
241,41,Strategy,9,12,61
242,41,Sports,17,1,26
243,48,Sports,12,18,79
244,35,Action,13,10,65
245,44,Sports,8,10,63
246,47,Action,2,10,36
247,42,Strategy,23,11,144
248,47,RPG,17,3,88
249,19,RPG,7,2,159
250,33,Action,17,3,57
251,18,RPG,9,1,95
252,49,Sports,4,0,75
